#
# Transition date estimate for NEON.D01.BART.DP1.00033
#
# Site: NEON.D01.BART.DP1.00033
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 1day
# Year min: 2017
# Year max: 2024
# Final Processing Date: 2024-10-16
# Final Processing Time: 15:13:08
# Spline RMSE gcc_mean: 0.00526
# Spline RMSE gcc_50: 0.00604
# Spline RMSE gcc_75: 0.00604
# Spline RMSE gcc_90: 0.00566
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
NEON.D01.BART.DP1.00033,DB,1000,rising,gcc_75,2019-05-13,2019-05-16,2019-05-21,2019-05-12,2019-05-15,2019-05-20,2019-05-15,2019-05-18,2019-05-22,0.35182,0.36567,0.39839,0.34465,0.44551
NEON.D01.BART.DP1.00033,DB,1000,rising,gcc_75,2020-05-15,2020-05-17,2020-05-22,2020-05-14,2020-05-16,2020-05-20,2020-05-16,2020-05-19,2020-05-23,0.35429,0.36767,0.40728,0.34518,0.45728
NEON.D01.BART.DP1.00033,DB,1000,rising,gcc_75,2021-05-07,2021-05-10,2021-05-15,2021-05-06,2021-05-09,2021-05-14,2021-05-09,2021-05-12,2021-05-16,0.35474,0.36948,0.40598,0.34544,0.45977
NEON.D01.BART.DP1.00033,DB,1000,rising,gcc_75,2022-05-08,2022-05-10,2022-05-14,2022-05-07,2022-05-09,2022-05-12,2022-05-09,2022-05-11,2022-05-15,0.35546,0.36715,0.40611,0.34519,0.44882
NEON.D01.BART.DP1.00033,DB,1000,rising,gcc_75,2023-05-04,2023-05-08,2023-05-12,2023-05-03,2023-05-07,2023-05-11,2023-05-06,2023-05-09,2023-05-13,0.35432,0.37109,0.39836,0.34596,0.44651
NEON.D01.BART.DP1.00033,DB,1000,rising,gcc_75,2024-05-08,2024-05-10,2024-05-14,2024-05-07,2024-05-09,2024-05-13,2024-05-10,2024-05-12,2024-05-15,0.35599,0.36621,0.40086,0.34627,0.45266
NEON.D01.BART.DP1.00033,DB,1000,rising,gcc_50,2017-05-06,2017-05-11,2017-05-17,2017-05-04,2017-05-10,2017-05-15,2017-05-08,2017-05-13,2017-05-18,0.35384,0.36617,0.40082,0.34351,0.45048
NEON.D01.BART.DP1.00033,DB,1000,rising,gcc_50,2018-05-08,2018-05-11,2018-05-16,2018-05-07,2018-05-10,2018-05-15,2018-05-09,2018-05-12,2018-05-17,0.35526,0.37146,0.40462,0.34454,0.45791
NEON.D01.BART.DP1.00033,DB,1000,rising,gcc_50,2019-05-13,2019-05-16,2019-05-21,2019-05-12,2019-05-15,2019-05-20,2019-05-15,2019-05-18,2019-05-22,0.35093,0.36401,0.39372,0.34404,0.44007
NEON.D01.BART.DP1.00033,DB,1000,rising,gcc_50,2020-05-15,2020-05-17,2020-05-22,2020-05-14,2020-05-16,2020-05-20,2020-05-16,2020-05-19,2020-05-23,0.35295,0.36576,0.40334,0.34459,0.45016
NEON.D01.BART.DP1.00033,DB,1000,rising,gcc_50,2021-05-07,2021-05-10,2021-05-15,2021-05-06,2021-05-09,2021-05-14,2021-05-09,2021-05-12,2021-05-16,0.35356,0.36697,0.39992,0.34476,0.44941
NEON.D01.BART.DP1.00033,DB,1000,rising,gcc_50,2022-05-08,2022-05-10,2022-05-14,2022-05-07,2022-05-09,2022-05-13,2022-05-09,2022-05-12,2022-05-15,0.35344,0.36404,0.40048,0.34469,0.44437
NEON.D01.BART.DP1.00033,DB,1000,rising,gcc_50,2023-05-04,2023-05-08,2023-05-12,2023-05-03,2023-05-07,2023-05-11,2023-05-06,2023-05-09,2023-05-13,0.35295,0.3693,0.39608,0.34528,0.44236
NEON.D01.BART.DP1.00033,DB,1000,rising,gcc_50,2024-05-08,2024-05-10,2024-05-14,2024-05-06,2024-05-09,2024-05-13,2024-05-10,2024-05-12,2024-05-15,0.35503,0.36453,0.39651,0.34572,0.44405
NEON.D01.BART.DP1.00033,DB,1000,rising,gcc_mean,2017-05-05,2017-05-11,2017-05-16,2017-05-04,2017-05-10,2017-05-15,2017-05-08,2017-05-13,2017-05-17,0.35189,0.36665,0.395,0.34333,0.44307
NEON.D01.BART.DP1.00033,DB,1000,rising,gcc_mean,2018-05-07,2018-05-10,2018-05-15,2018-05-06,2018-05-09,2018-05-13,2018-05-09,2018-05-11,2018-05-16,0.35185,0.36603,0.39722,0.34434,0.44283
NEON.D01.BART.DP1.00033,DB,1000,rising,gcc_mean,2019-05-13,2019-05-16,2019-05-21,2019-05-12,2019-05-15,2019-05-20,2019-05-15,2019-05-18,2019-05-22,0.35069,0.36376,0.39392,0.34384,0.43915
NEON.D01.BART.DP1.00033,DB,1000,rising,gcc_mean,2020-05-15,2020-05-17,2020-05-22,2020-05-14,2020-05-16,2020-05-20,2020-05-16,2020-05-19,2020-05-23,0.3529,0.36536,0.4022,0.34439,0.44839
NEON.D01.BART.DP1.00033,DB,1000,rising,gcc_mean,2021-05-07,2021-05-10,2021-05-15,2021-05-06,2021-05-09,2021-05-14,2021-05-09,2021-05-12,2021-05-16,0.35339,0.36677,0.39973,0.34463,0.45086
NEON.D01.BART.DP1.00033,DB,1000,rising,gcc_mean,2022-05-08,2022-05-10,2022-05-14,2022-05-07,2022-05-09,2022-05-13,2022-05-09,2022-05-12,2022-05-15,0.35329,0.36393,0.40063,0.34447,0.44405
NEON.D01.BART.DP1.00033,DB,1000,rising,gcc_mean,2023-05-04,2023-05-07,2023-05-12,2023-05-03,2023-05-06,2023-05-11,2023-05-06,2023-05-09,2023-05-13,0.35294,0.36398,0.3956,0.34507,0.44091
NEON.D01.BART.DP1.00033,DB,1000,rising,gcc_mean,2024-05-08,2024-05-10,2024-05-14,2024-05-07,2024-05-09,2024-05-13,2024-05-10,2024-05-12,2024-05-15,0.35443,0.36397,0.39649,0.34554,0.44486
NEON.D01.BART.DP1.00033,DB,1000,falling,gcc_90,2024-10-08,2024-10-04,2024-09-29,2024-10-09,2024-10-05,2024-09-30,2024-10-06,2024-10-03,2024-09-28,0.34613,0.36355,0.39248,0.33729,0.44568
NEON.D01.BART.DP1.00033,DB,1000,falling,gcc_90,2023-10-03,2023-09-30,2023-09-24,2023-10-05,2023-10-01,2023-09-25,2023-10-01,2023-09-28,2023-09-23,0.36458,0.37465,0.40083,0.35644,0.44515
NEON.D01.BART.DP1.00033,DB,1000,falling,gcc_90,2022-10-05,2022-10-02,2022-09-26,2022-10-06,2022-10-03,2022-09-28,2022-10-03,2022-10-01,2022-09-25,0.34959,0.36608,0.39901,0.34026,0.45024
NEON.D01.BART.DP1.00033,DB,1000,falling,gcc_90,2021-10-11,2021-10-07,2021-10-01,2021-10-12,2021-10-08,2021-10-03,2021-10-09,2021-10-05,2021-09-30,0.344,0.36127,0.39652,0.33622,0.45026
NEON.D01.BART.DP1.00033,DB,1000,falling,gcc_90,2020-10-02,2020-09-25,2020-09-16,2020-10-04,2020-09-26,2020-09-18,2020-09-28,2020-09-23,2020-09-15,0.36053,0.37444,0.40174,0.35168,0.44775
NEON.D01.BART.DP1.00033,DB,1000,falling,gcc_90,2019-10-08,2019-10-05,2019-09-26,2019-10-09,2019-10-06,2019-09-29,2019-10-06,2019-10-04,2019-09-24,0.34078,0.35871,0.39055,0.33399,0.44428
NEON.D01.BART.DP1.00033,DB,1000,falling,gcc_90,2018-10-07,2018-10-04,2018-09-28,2018-10-08,2018-10-05,2018-09-30,2018-10-06,2018-10-02,2018-09-27,0.34816,0.36188,0.39451,0.33859,0.4455
NEON.D01.BART.DP1.00033,DB,1000,falling,gcc_90,2017-10-06,2017-10-01,2017-09-14,2017-10-08,2017-10-02,2017-09-20,2017-10-04,2017-09-29,2017-09-11,0.35317,0.3694,0.39822,0.34252,0.45291
NEON.D01.BART.DP1.00033,DB,1000,falling,gcc_75,2024-10-08,2024-10-04,2024-09-29,2024-10-09,2024-10-05,2024-10-01,2024-10-06,2024-10-03,2024-09-28,0.34373,0.36074,0.39027,0.33525,0.44104
NEON.D01.BART.DP1.00033,DB,1000,falling,gcc_75,2023-10-03,2023-09-30,2023-09-24,2023-10-05,2023-10-01,2023-09-26,2023-10-01,2023-09-28,2023-09-23,0.36289,0.37302,0.39869,0.35473,0.44044
NEON.D01.BART.DP1.00033,DB,1000,falling,gcc_75,2022-10-05,2022-10-02,2022-09-26,2022-10-06,2022-10-03,2022-09-28,2022-10-03,2022-10-01,2022-09-25,0.34698,0.36287,0.39536,0.33839,0.44649
NEON.D01.BART.DP1.00033,DB,1000,falling,gcc_75,2021-10-11,2021-10-07,2021-10-02,2021-10-12,2021-10-08,2021-10-03,2021-10-09,2021-10-06,2021-10-01,0.34314,0.36005,0.39107,0.33532,0.4467
NEON.D01.BART.DP1.00033,DB,1000,falling,gcc_75,2020-09-30,2020-09-24,2020-09-16,2020-10-03,2020-09-25,2020-09-18,2020-09-27,2020-09-22,2020-09-14,0.36028,0.37386,0.39806,0.35125,0.44418
NEON.D01.BART.DP1.00033,DB,1000,falling,gcc_75,2019-10-08,2019-10-05,2019-09-27,2019-10-09,2019-10-06,2019-09-30,2019-10-07,2019-10-04,2019-09-25,0.33937,0.35681,0.38564,0.33014,0.43845
NEON.D01.BART.DP1.00033,DB,1000,falling,gcc_75,2018-10-07,2018-10-03,2018-09-28,2018-10-08,2018-10-04,2018-09-29,2018-10-05,2018-10-02,2018-09-27,0.34566,0.36435,0.39311,0.33718,0.44727
NEON.D01.BART.DP1.00033,DB,1000,falling,gcc_75,2017-10-07,2017-10-02,2017-09-12,2017-10-08,2017-10-03,2017-09-16,2017-10-04,2017-09-29,2017-09-11,0.34938,0.36483,0.39598,0.34101,0.44874
NEON.D01.BART.DP1.00033,DB,1000,falling,gcc_50,2024-10-08,2024-10-04,2024-09-29,2024-10-09,2024-10-05,2024-10-01,2024-10-06,2024-10-03,2024-09-28,0.34206,0.35821,0.38712,0.33348,0.4368
NEON.D01.BART.DP1.00033,DB,1000,falling,gcc_50,2023-10-04,2023-09-30,2023-09-24,2023-10-06,2023-10-01,2023-09-26,2023-10-01,2023-09-28,2023-09-23,0.35962,0.3715,0.39668,0.35293,0.43564
NEON.D01.BART.DP1.00033,DB,1000,falling,gcc_50,2022-10-05,2022-10-02,2022-09-27,2022-10-06,2022-10-03,2022-09-28,2022-10-03,2022-10-01,2022-09-26,0.34534,0.36016,0.38611,0.33678,0.43247
NEON.D01.BART.DP1.00033,DB,1000,falling,gcc_50,2021-10-11,2021-10-07,2021-10-02,2021-10-12,2021-10-08,2021-10-03,2021-10-09,2021-10-06,2021-10-01,0.34167,0.35834,0.38853,0.33388,0.44195
NEON.D01.BART.DP1.00033,DB,1000,falling,gcc_50,2020-09-28,2020-09-23,2020-09-15,2020-10-01,2020-09-24,2020-09-18,2020-09-26,2020-09-21,2020-09-13,0.35878,0.37168,0.39546,0.35034,0.43788
NEON.D01.BART.DP1.00033,DB,1000,falling,gcc_50,2019-10-08,2019-10-05,2019-09-27,2019-10-09,2019-10-06,2019-09-30,2019-10-07,2019-10-04,2019-09-25,0.33764,0.35432,0.38184,0.32849,0.43195
NEON.D01.BART.DP1.00033,DB,1000,falling,gcc_50,2018-10-07,2018-10-03,2018-09-28,2018-10-08,2018-10-04,2018-09-30,2018-10-05,2018-10-02,2018-09-27,0.34341,0.36111,0.38997,0.33549,0.43888
NEON.D01.BART.DP1.00033,DB,1000,falling,gcc_50,2017-10-07,2017-10-02,2017-09-14,2017-10-09,2017-10-03,2017-09-19,2017-10-05,2017-09-29,2017-09-11,0.3485,0.36203,0.38912,0.33924,0.43895
NEON.D01.BART.DP1.00033,DB,1000,falling,gcc_mean,2024-10-08,2024-10-04,2024-09-29,2024-10-09,2024-10-05,2024-10-01,2024-10-06,2024-10-03,2024-09-28,0.34246,0.35875,0.3871,0.33374,0.43586
NEON.D01.BART.DP1.00033,DB,1000,falling,gcc_mean,2023-10-04,2023-09-30,2023-09-24,2023-10-06,2023-10-01,2023-09-26,2023-10-01,2023-09-28,2023-09-23,0.35984,0.37156,0.39647,0.35318,0.43429
NEON.D01.BART.DP1.00033,DB,1000,falling,gcc_mean,2022-10-05,2022-10-02,2022-09-27,2022-10-06,2022-10-03,2022-09-28,2022-10-03,2022-10-01,2022-09-26,0.34535,0.36017,0.38585,0.33668,0.43367
NEON.D01.BART.DP1.00033,DB,1000,falling,gcc_mean,2021-10-11,2021-10-07,2021-10-01,2021-10-12,2021-10-08,2021-10-03,2021-10-09,2021-10-06,2021-09-30,0.34175,0.35802,0.39068,0.3342,0.44107
NEON.D01.BART.DP1.00033,DB,1000,falling,gcc_mean,2020-09-30,2020-09-24,2020-09-16,2020-10-03,2020-09-25,2020-09-18,2020-09-27,2020-09-22,2020-09-14,0.35707,0.36994,0.39401,0.3489,0.43693
NEON.D01.BART.DP1.00033,DB,1000,falling,gcc_mean,2019-10-08,2019-10-05,2019-09-27,2019-10-09,2019-10-06,2019-09-30,2019-10-07,2019-10-04,2019-09-25,0.33753,0.35414,0.38191,0.32856,0.43246
NEON.D01.BART.DP1.00033,DB,1000,falling,gcc_mean,2018-10-07,2018-10-04,2018-09-28,2018-10-08,2018-10-05,2018-09-30,2018-10-06,2018-10-02,2018-09-27,0.34447,0.35727,0.38723,0.33576,0.43381
NEON.D01.BART.DP1.00033,DB,1000,falling,gcc_mean,2017-10-07,2017-10-02,2017-09-16,2017-10-08,2017-10-03,2017-09-21,2017-10-05,2017-09-30,2017-09-12,0.34836,0.36286,0.38798,0.33935,0.43657
